# Final Requirement Gap Report

Time: 2026-07-08T15:36:11.9721651+08:00

## Summary

| Metric | Count |
|---|---:|
| Total rows | 45 |
| OPEN | 0 |
| PARTIAL | 45 |
| Closed | 0 |

## Recommended Batch Order

### FRC-1 Missing Product Surfaces

| Req ID | Status | Area | Gap / Next Action |
|---|---|---|---|
| REQ-5.8 | PARTIAL | Pages. | Need broader runtime daily-use pages, import/export/file/error states, and user acceptance before `PROVEN`. |
| REQ-6.1 | PARTIAL | Overall visual style. | Need broader human aesthetic review across runtime daily work, file/import/export/error states, and user acceptance before `PROVEN`; R35/R41/R42/R43/R46/R52 are engineering evidence only. |
| REQ-6.3 | PARTIAL | Home page. | Need richer live operational data, broader work/todo/message integration, and user acceptance before `PROVEN`. |
| REQ-6.8 | PARTIAL | Page designer. | Need drag/drop polish, full accessibility review, richer runtime widget behavior, and user acceptance before `PROVEN`. |
| REQ-9 | PARTIAL | Advanced/new capabilities. | Need remaining command-center and assistant enhancements, binary PDF or user-approved HTML export boundary, operations breadth, broader workflow/OpenAPI/AI variants, and user acceptance before `PROVEN`. |

### FRC-2 No-Code Configuration Depth

| Req ID | Status | Area | Gap / Next Action |
|---|---|---|---|
| REQ-4.3 | PARTIAL | Application configuration center. | Need richer first-use-to-launch workflow, nested/disabled/unpublished menu permutations, broader cross-surface admin usability, and user acceptance. |
| REQ-5.3 | PARTIAL | Applications. | Need app lifecycle and platform-level app/system data interop coverage. |
| REQ-5.3.1 | PARTIAL | Module groups as runtime navigation. | Need nested group behavior, disabled/unpublished state permutations, broader menu editing UX, and user acceptance. |
| REQ-5.4 | PARTIAL | Modules. | Need all module permissions/field-type permutations, binary PDF or user-approved HTML boundary, long-form usability, and user acceptance before `PROVEN`. |
| REQ-5.5 | PARTIAL | Fields. | Need formula/summary if in scope, richer field-specific UI widgets, broader validation UX/accessibility, and user acceptance. |
| REQ-5.6 | PARTIAL | Dictionaries. | Need dictionary hierarchy/import/history or other broader dictionary semantics if in scope, cross-surface dictionary reuse, and user acceptance. |
| REQ-5.7 | PARTIAL | Departments and members. | Need full org tree, member lifecycle, binding, import/sync and permission impact. |
| REQ-5.9 | PARTIAL | Menus. | Need explicit menu configuration page breadth, nested groups, disabled/unpublished permutations, and user acceptance. |
| REQ-5.10 | PARTIAL | Permissions. | Need broader permission matrix usability, menu/module/action/field/data-scope permutations, audit/history of permission changes, and user acceptance. |
| REQ-6.7 | PARTIAL | Field designer. | Need formula/summary specialized widgets if in scope, deeper validation UI, relation/person/subtable accessibility review, and user acceptance. |
| REQ-6.10 | PARTIAL | Permission page. | Need richer permission matrix UX, batch role/member preview, conflict explanation, audit history, and user acceptance. |

### FRC-3 Runtime User Depth

| Req ID | Status | Area | Gap / Next Action |
|---|---|---|---|
| REQ-4.4 | PARTIAL | Application runtime. | Need remaining runtime approval detail breadth, import/export rollback UX, file preview/version/storage failure states, batch actions, deeper empty/error/accessibility states, and user acceptance before `PROVEN`. |
| REQ-5.11 | PARTIAL | Data records. | Need approval-detail integration breadth, sequence permutations, rollback/batch actions, deeper empty/error/accessibility states, and broader data-record usability before `PROVEN`. |
| REQ-5.13 | PARTIAL | Files. | Need file preview/download permission breadth, versioning, relation management, storage policy, and upload/download failure coverage before `PROVEN`. |
| REQ-5.14 | PARTIAL | Import and export. | Need rollback/error-file failure cases, field mapping UX breadth, permissions matrix depth, and large-file UX before `PROVEN`. |
| REQ-5.16 | PARTIAL | Messages. | Need templates/channels, delivery log, failure retry, do-not-disturb, platform/system separation breadth, and user acceptance. |
| REQ-5.20 | PARTIAL | Work management: projects, tasks, daily reports, calendar. | Need full daily work usability, calendar, dashboard, task board, report draft and message/todo integration. |
| REQ-6.4 | PARTIAL | List pages. | Need admin list batch actions, richer error states, column width/fixed controls, keyboard/accessibility, and broader list usability review before `PROVEN`. |
| REQ-6.5 | PARTIAL | Form pages. | Need field-specific UI breadth, more validation permutations, read-only/forbidden form permutations in browser, and accessibility before `PROVEN`. |
| REQ-6.6 | PARTIAL | Detail pages. | Need approval sidebar terminal breadth, related child-row detail breadth, empty/error/accessibility states, and broader reload/re-login usability before `PROVEN`. |
| REQ-6.11 | PARTIAL | Mobile. | Need mobile task usability across workflow/todo/message/ops primary journeys, binary PDF/user-approved print boundary decision, and user acceptance before `PROVEN`. |

### FRC-4 Workflow, Integration, AI Depth

| Req ID | Status | Area | Gap / Next Action |
|---|---|---|---|
